id,status_group,,,,,,
0,non functional,,,,,,
1,functional,,,,,,
2,functional,,,,,,
3,functional,,,,,,non funtional - 3
4,non functional,,,,,,
5,functional,,,,,,
6,non functional,,,,,,
7,functional,,,,,,
8,non functional,,,,,,
9,non functional,,,,,,
11,non functional,,,,,,
12,non functional,,,,,,
15,non functional,,,,,,
16,non functional,,,,,,
17,functional,,,,,,
18,functional,,,,,,
19,functional,,,,,,
20,functional needs repair,,,,,,
21,non functional,,,,,,
22,functional,,,,,,
23,non functional,,,,,,
24,non functional,,,,,,
25,non functional,,,,,,
26,functional,,,,,,
27,non functional,,,,,,
28,functional,,,,,,
30,functional,,,,,,
31,non functional,,,,,,
33,functional,,,,,,
34,non functional,,,,,,
35,non functional,,,,,,
36,functional,,,,,,
38,functional,,,,,,
39,functional,,,,,,
40,functional,,,,,,
41,functional,,,,,,
42,functional,,,,,,
43,non functional,,,,,,
44,functional,,,,,,
45,non functional,,,,,,
46,functional,,,,,,
48,functional,,,,,,
49,functional,,,,,,
50,functional,,,,,,
51,non functional,,,,,,
52,functional,,,,,,
54,non functional,,,,,,
55,functional,,,,,,
56,functional needs repair,,,,,,
60,functional,,,,,,
62,functional,,,,,,
63,non functional,,,,,,
64,functional,,,,,,
65,functional,,,,,,
66,non functional,,,,,,
67,functional,,,,,,
68,non functional,,,,,,
69,functional,,,,,,
70,non functional,,,,,,
71,non functional,,,,,,
73,non functional,,,,,,
74,non functional,,,,,,
75,non functional,,,,,,
76,functional,,,,,,
77,functional,,,,,,
78,functional,,,,,,
79,functional,,,,,,
80,non functional,,,,,,
81,non functional,,,,,,
82,non functional,,,,,,
84,functional,,,,,,
86,functional,,,,,,
87,non functional,,,,,,
88,functional needs repair,,,,,,
89,non functional,,,,,,
91,non functional,,,,,,
92,non functional,,,,,,
93,functional,,,,,,
94,functional,,,,,,
95,non functional,,,,,,
96,non functional,,,,,,
97,non functional,,,,,,
98,non functional,,,,,,
102,non functional,,,,,,
103,functional,,,,,,
104,non functional,,,,,,
105,functional,,,,,,
106,functional,,,,,,
107,functional,,,,,,
108,functional,,,,,,
109,functional,,,,,,
111,non functional,,,,,,
112,non functional,,,,,,
113,functional,,,,,,
114,non functional,,,,,,
115,functional,,,,,,
116,functional,,,,,,
117,functional,,,,,,
118,functional,,,,,,
119,non functional,,,,,,
120,functional,,,,,,
121,functional,,,,,,
122,non functional,,,,,,
123,functional,,,,,,
124,functional,,,,,,
125,non functional,,,,,,
126,functional,,,,,,
128,functional,,,,,,
129,functional needs repair,,,,,,
130,non functional,,,,,,
132,non functional,,,,,,
133,non functional,,,,,,
134,functional,,,,,,
136,non functional,,,,,,
137,functional,,,,,,
138,non functional,,,,,,
139,functional,,,,,,
140,functional,,,,,,
142,functional,,,,,,
144,non functional,,,,,,
145,non functional,,,,,,
146,functional,,,,,,
147,non functional,,,,,,
148,non functional,,,,,,
149,functional needs repair,,,,,,
150,functional,,,,,,
151,functional,,,,,,
152,non functional,,,,,,
153,non functional,,,,,,
157,non functional,,,,,,
158,functional,,,,,,
159,functional needs repair,,,,,,
160,functional,,,,,,
161,functional,,,,,,
162,non functional,,,,,,
164,functional,,,,,,
165,functional needs repair,,,,,,
166,functional,,,,,,
167,functional,,,,,,
168,functional,,,,,,
169,functional,,,,,,
170,functional,,,,,,
171,functional,,,,,,
173,functional,,,,,,
174,non functional,,,,,,
175,functional,,,,,,
176,functional needs repair,,,,,,
